Сценарий;Тип землепользования;Достопримечательности;Леса;ОКН;ООПТ;Питание;Размещение;Ремесла;События;Соц. услуги;Транспорт;Учреждения
Экоцентризм;Парк/Рекреация;0.22;0.2;0.05;0.35;0.02;0.02;0.01;0.05;0.01;0.05;0.02
Экоцентризм;Жилая застройка;0.05;0.08;0.05;0.1;0.1;0.05;0.02;0.05;0.15;0.15;0.2
Экоцентризм;Коммерция/Услуги;0.03;0.02;0.15;0.05;0.15;0.1;0.05;0.15;0.05;0.2;0.05
Экоцентризм;Инфраструктурный Хаб;0.03;0.02;0.02;0.02;0.1;0.05;0.01;0.05;0.05;0.6;0.05
Историко-центризм;Парк/Рекреация;0.18;0.1;0.15;0.2;0.05;0.05;0.05;0.1;0.02;0.05;0.05
Историко-центризм;Жилая застройка;0.08;0.05;0.1;0.05;0.1;0.05;0.02;0.05;0.15;0.15;0.2
Историко-центризм;Коммерция/Услуги;0.05;0.01;0.35;0.02;0.05;0.05;0.1;0.2;0.02;0.1;0.05
Историко-центризм;Инфраструктурный Хаб;0.05;0.01;0.05;0.02;0.1;0.1;0.02;0.05;0.05;0.5;0.05
Инфраструктурный;Парк/Рекреация;0.15;0.2;0.05;0.25;0.05;0.05;0.02;0.05;0.03;0.1;0.05
Инфраструктурный;Жилая застройка;0.08;0.05;0.05;0.05;0.1;0.05;0.02;0.05;0.15;0.25;0.15
Инфраструктурный;Коммерция/Услуги;0.02;0.01;0.1;0.02;0.1;0.1;0.05;0.1;0.05;0.35;0.1
Инфраструктурный;Инфраструктурный Хаб;0.03;0.01;0.02;0.01;0.05;0.05;0.01;0.05;0.02;0.7;0.05
