block_id,S_ik_Экоцентризм_Опорные_центры_(Хабы),S_ik_Экоцентризм_Локальные_точки_притяжения,S_ik_Экоцентризм_Линейные_элементы_(Маршруты),S_ik_Историко_центризм_Опорные_центры_(Хабы),S_ik_Историко_центризм_Локальные_точки_притяжения,S_ik_Историко_центризм_Линейные_элементы_(Маршруты),S_ik_Инфраструктурный_Опорные_центры_(Хабы),S_ik_Инфраструктурный_Локальные_точки_притяжения,S_ik_Инфраструктурный_Линейные_элементы_(Маршруты)
0,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
1,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
2,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
3,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
4,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
5,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
6,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
7,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
8,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
9,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
10,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
11,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
12,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
13,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
14,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
15,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
16,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
17,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
18,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
19,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
20,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
21,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
22,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
23,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
24,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
25,0.2,0.2,0.15000000000000002,0.41000000000000003,0.35,0.25,0.060000000000000005,0.15000000000000002,0.15000000000000002
26,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
27,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
28,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,0.1
