Тип строки,Группа,Фактор A,Фактор B,Выбор,Оценка Саати,Значение A/B,Локальный вес,Глобальный вес
Ответ,Главные критерии,Культурные,Инфраструктурные,Культурные,3,3.0,,
Ответ,Главные критерии,Культурные,Биологические,Культурные,3,3.0,,
Ответ,Главные критерии,Культурные,Гидрометеорологические,Культурные,5,5.0,,
Ответ,Главные критерии,Культурные,Геологические,Культурные,7,7.0,,
Ответ,Главные критерии,Культурные,Ограничивающие,Культурные,9,9.0,,
Ответ,Главные критерии,Инфраструктурные,Биологические,Инфраструктурные,2,2.0,,
Ответ,Главные критерии,Инфраструктурные,Гидрометеорологические,Инфраструктурные,4,4.0,,
Ответ,Главные критерии,Инфраструктурные,Геологические,Инфраструктурные,5,5.0,,
Ответ,Главные критерии,Инфраструктурные,Ограничивающие,Инфраструктурные,7,7.0,,
Ответ,Главные критерии,Биологические,Гидрометеорологические,Биологические,3,3.0,,
Ответ,Главные критерии,Биологические,Геологические,Биологические,4,4.0,,
Ответ,Главные критерии,Биологические,Ограничивающие,Биологические,6,6.0,,
Ответ,Главные критерии,Гидрометеорологические,Геологические,Гидрометеорологические,3,3.0,,
Ответ,Главные критерии,Гидрометеорологические,Ограничивающие,Гидрометеорологические,5,5.0,,
Ответ,Главные критерии,Геологические,Ограничивающие,Геологические,3,3.0,,
Ответ,Культурные,ОКН,События,ОКН,3,3.0,,
Ответ,Культурные,ОКН,Учреждения,ОКН,5,5.0,,
Ответ,Культурные,ОКН,Ремесла,ОКН,7,7.0,,
Ответ,Культурные,События,Учреждения,События,3,3.0,,
Ответ,Культурные,События,Ремесла,События,5,5.0,,
Ответ,Культурные,Учреждения,Ремесла,Учреждения,3,3.0,,
Ответ,Инфраструктурные,Транспорт,Размещение,Транспорт,2,2.0,,
Ответ,Инфраструктурные,Транспорт,Питание,Транспорт,4,4.0,,
Ответ,Инфраструктурные,Транспорт,Соц. услуги,Транспорт,7,7.0,,
Ответ,Инфраструктурные,Размещение,Питание,Размещение,3,3.0,,
Ответ,Инфраструктурные,Размещение,Соц. услуги,Размещение,6,6.0,,
Ответ,Инфраструктурные,Питание,Соц. услуги,Питание,4,4.0,,
Ответ,Биологические,ООПТ,Леса,ООПТ,3,3.0,,
Ответ,Биологические,ООПТ,Красные виды,ООПТ,5,5.0,,
Ответ,Биологические,ООПТ,Животный мир,ООПТ,7,7.0,,
Ответ,Биологические,Леса,Красные виды,Леса,3,3.0,,
Ответ,Биологические,Леса,Животный мир,Леса,5,5.0,,
Ответ,Биологические,Красные виды,Животный мир,Красные виды,3,3.0,,
Ответ,Гидрометеорологические,Плотность озер,Плотность рек,Плотность озер,2,2.0,,
Ответ,Гидрометеорологические,Плотность озер,Температурный режим,Плотность озер,4,4.0,,
Ответ,Гидрометеорологические,Плотность озер,Снежный покров,Плотность озер,5,5.0,,
Ответ,Гидрометеорологические,Плотность озер,Осадки,Плотность озер,7,7.0,,
Ответ,Гидрометеорологические,Плотность озер,Ветер,Плотность озер,9,9.0,,
Ответ,Гидрометеорологические,Плотность рек,Температурный режим,Плотность рек,3,3.0,,
Ответ,Гидрометеорологические,Плотность рек,Снежный покров,Плотность рек,4,4.0,,
Ответ,Гидрометеорологические,Плотность рек,Осадки,Плотность рек,6,6.0,,
Ответ,Гидрометеорологические,Плотность рек,Ветер,Плотность рек,8,8.0,,
Ответ,Гидрометеорологические,Температурный режим,Снежный покров,Температурный режим,3,3.0,,
Ответ,Гидрометеорологические,Температурный режим,Осадки,Температурный режим,5,5.0,,
Ответ,Гидрометеорологические,Температурный режим,Ветер,Температурный режим,7,7.0,,
Ответ,Гидрометеорологические,Снежный покров,Осадки,Снежный покров,3,3.0,,
Ответ,Гидрометеорологические,Снежный покров,Ветер,Снежный покров,5,5.0,,
Ответ,Гидрометеорологические,Осадки,Ветер,Осадки,3,3.0,,
Ответ,Геологические,Достопримечательности,Рельеф,Достопримечательности,5,5.0,,
Ответ,Ограничивающие,Заболоченность,Заболевания,Заболоченность,3,3.0,,
Ответ,Ограничивающие,Заболоченность,Опасные процессы,Заболоченность,7,7.0,,
Ответ,Ограничивающие,Заболевания,Опасные процессы,Заболевания,5,5.0,,
Вес_группы,Главные критерии,Культурные,,,,,0.425353,0.425353
Вес_подфактора,Культурные,ОКН,,,,,0.565009,0.240329
Вес_подфактора,Культурные,События,,,,,0.262201,0.111528
Вес_подфактора,Культурные,Учреждения,,,,,0.117504,0.049981
Вес_подфактора,Культурные,Ремесла,,,,,0.055285,0.023516
Вес_группы,Главные критерии,Инфраструктурные,,,,,0.239702,0.239702
Вес_подфактора,Инфраструктурные,Транспорт,,,,,0.496502,0.119013
Вес_подфактора,Инфраструктурные,Размещение,,,,,0.313248,0.075086
Вес_подфактора,Инфраструктурные,Питание,,,,,0.139328,0.033397
Вес_подфактора,Инфраструктурные,Соц. услуги,,,,,0.050921,0.012206
Вес_группы,Главные критерии,Биологические,,,,,0.167795,0.167795
Вес_подфактора,Биологические,ООПТ,,,,,0.565009,0.094806
Вес_подфактора,Биологические,Леса,,,,,0.262201,0.043996
Вес_подфактора,Биологические,Красные виды,,,,,0.117504,0.019717
Вес_подфактора,Биологические,Животный мир,,,,,0.055285,0.009277
Вес_группы,Главные критерии,Гидрометеорологические,,,,,0.090871,0.090871
Вес_подфактора,Гидрометеорологические,Плотность озер,,,,,0.404678,0.036774
Вес_подфактора,Гидрометеорологические,Плотность рек,,,,,0.279292,0.02538
Вес_подфактора,Гидрометеорологические,Температурный режим,,,,,0.159389,0.014484
Вес_подфактора,Гидрометеорологические,Снежный покров,,,,,0.086602,0.00787
Вес_подфактора,Гидрометеорологические,Осадки,,,,,0.044874,0.004078
Вес_подфактора,Гидрометеорологические,Ветер,,,,,0.025165,0.002287
Вес_группы,Главные критерии,Геологические,,,,,0.049224,0.049224
Вес_подфактора,Геологические,Достопримечательности,,,,,0.833333,0.04102
Вес_подфактора,Геологические,Рельеф,,,,,0.166667,0.008204
Вес_группы,Главные критерии,Ограничивающие,,,,,0.027053,0.027053
Вес_подфактора,Ограничивающие,Заболоченность,,,,,0.649118,0.017561
Вес_подфактора,Ограничивающие,Заболевания,,,,,0.278955,0.007547
Вес_подфактора,Ограничивающие,Опасные процессы,,,,,0.071927,0.001946
